id,libro,capitulo,verso,texto
23166,Mateo,2,1,"1 Visitantes del oriente Jesús nació en Belén de Judea durante el reinado de Herodes. Por ese tiempo, algunos sabios de países del oriente llegaron a Jerusalén y preguntaron:"
23167,Mateo,2,2,2 «¿Dónde está el rey de los judíos que acaba de nacer? Vimos su estrella mientras salía y hemos venido a adorarlo».
23168,Mateo,2,3,"3 Cuando el rey Herodes oyó eso, se perturbó profundamente igual que todos en Jerusalén."
23169,Mateo,2,4,4 Mandó llamar a los principales sacerdotes y maestros de la ley religiosa y les preguntó: —¿Dónde se supone que nacerá el Mesías?
23170,Mateo,2,5,5 —En Belén de Judea —le dijeron— porque eso es lo que escribió el profeta:
23171,Mateo,2,6,"6 “Y tú, Belén, en la tierra de Judá, no eres la menor entre las ciudades reinantes de Judá, porque de ti saldrá un gobernante que será el pastor de mi pueblo Israel” ."
23172,Mateo,2,7,"7 Luego Herodes convocó a los sabios a una reunión privada y, por medio de ellos, se enteró del momento en el que había aparecido la estrella por primera vez."
23173,Mateo,2,8,"8 Entonces les dijo: «Vayan a Belén y busquen al niño con esmero. Cuando lo encuentren, vuelvan y díganme dónde está para que yo también vaya y lo adore»."
23174,Mateo,2,9,"9 Después de esa reunión, los sabios siguieron su camino, y la estrella que habían visto en el oriente los guió hasta Belén. Iba delante de ellos y se detuvo sobre el lugar donde estaba el niño."
23175,Mateo,2,10,"10 Cuando vieron la estrella, ¡se llenaron de alegría!"
23176,Mateo,2,11,"11 Entraron en la casa y vieron al niño con su madre, María, y se inclinaron y lo adoraron. Luego abrieron sus cofres de tesoro y le dieron regalos de oro, incienso y mirra."
23177,Mateo,2,12,"12 Cuando llegó el momento de irse, volvieron a su tierra por otro camino, ya que Dios les advirtió en un sueño que no regresaran a Herodes."
23178,Mateo,2,13,"13 Huida a Egipto Después de que los sabios se fueron, un ángel del Señor se le apareció a José en un sueño. «¡Levántate! Huye a Egipto con el niño y su madre —dijo el ángel—. Quédate allí hasta que yo te diga que regreses, porque Herodes buscará al niño para matarlo»."
23179,Mateo,2,14,"14 Esa noche José salió para Egipto con el niño y con María, su madre,"
23180,Mateo,2,15,15 y se quedaron allí hasta la muerte de Herodes. Así se cumplió lo que el Señor había dicho por medio del profeta: «De Egipto llamé a mi Hijo» .
23181,Mateo,2,16,"16 Cuando Herodes se dio cuenta de que los sabios se habían burlado de él, se puso furioso. Entonces, basado en lo que dijeron los sabios sobre la primera aparición de la estrella, Herodes envió soldados para matar a todos los niños que vivieran en Belén y en sus alrededores y que tuvieran dos años o menos."
23182,Mateo,2,17,17 Esta acción brutal cumplió lo que Dios había anunciado por medio del profeta Jeremías:
23183,Mateo,2,18,"18 «En Ramá se oyó una voz, llanto y gran lamento. Raquel llora por sus hijos, se niega a que la consuelen, porque están muertos» ."
23184,Mateo,2,19,"19 Regreso a Nazaret Cuando Herodes murió, un ángel del Señor se le apareció en un sueño a José en Egipto."
23185,Mateo,2,20,"20 «¡Levántate! —dijo el ángel—. Lleva al niño y a su madre de regreso a la tierra de Israel, porque ya murieron los que trataban de matar al niño»."
23186,Mateo,2,21,21 Entonces José se levantó y regresó a la tierra de Israel con Jesús y su madre;
23187,Mateo,2,22,"22 pero cuando se enteró de que el nuevo gobernante de Judea era Arquelao, hijo de Herodes, tuvo miedo de ir allí. Entonces, luego de ser advertido en un sueño, se fue a la región de Galilea."
23188,Mateo,2,23,23 Después la familia fue a vivir a una ciudad llamada Nazaret y así se cumplió lo que los profetas habían dicho: «Lo llamarán nazareno».
23189,Mateo,3,1,"1 Juan el Bautista prepara el camino En esos días, Juan el Bautista llegó al desierto de Judea y comenzó a predicar. Su mensaje era el siguiente:"
23190,Mateo,3,2,"2 «Arrepiéntanse de sus pecados y vuelvan a Dios, porque el reino del cielo está cerca »."
23191,Mateo,3,3,3 El profeta Isaías se refería a Juan cuando dijo: «Es una voz que clama en el desierto: “¡Preparen el camino para la venida del Señor ! ¡Ábranle camino!”» .
23192,Mateo,3,4,4 Juan usaba ropa tejida con pelo rústico de camello y llevaba puesto un cinturón de cuero alrededor de la cintura. Se alimentaba con langostas y miel silvestre.
23193,Mateo,3,5,"5 Gente de Jerusalén, de toda Judea y de todo el valle del Jordán salía para ver y escuchar a Juan;"
23194,Mateo,3,6,"6 y cuando confesaban sus pecados, él las bautizaba en el río Jordán."
23195,Mateo,3,7,"7 Cuando Juan vio que muchos fariseos y saduceos venían a mirarlo bautizar, los enfrentó. «¡Camada de víboras! —exclamó—. ¿Quién les advirtió que huyeran de la ira divina que se acerca?"
23196,Mateo,3,8,8 Demuestren con su forma de vivir que se han arrepentido de sus pecados y han vuelto a Dios.
23197,Mateo,3,9,"9 No se digan simplemente el uno al otro: “Estamos a salvo porque somos descendientes de Abraham”. Eso no significa nada, porque les digo que Dios puede crear hijos de Abraham de estas piedras."
23198,Mateo,3,10,"10 Ahora mismo el hacha del juicio de Dios está lista para cortar las raíces de los árboles. Así es, todo árbol que no produzca buenos frutos será cortado y arrojado al fuego."
23199,Mateo,3,11,"11 »Yo bautizo con agua a los que se arrepienten de sus pecados y vuelven a Dios, pero pronto viene alguien que es superior a mí, tan superior que ni siquiera soy digno de ser su esclavo y llevarle las sandalias. Él los bautizará con el Espíritu Santo y con fuego."
23200,Mateo,3,12,"12 Está listo para separar el trigo de la paja con su rastrillo. Luego limpiará la zona donde se trilla y juntará el trigo en su granero, pero quemará la paja en un fuego interminable»."
23201,Mateo,3,13,"13 Bautismo de Jesús Luego Jesús fue de Galilea al río Jordán para que Juan lo bautizara,"
23202,Mateo,3,14,"14 pero Juan intentó convencerlo de que no lo hiciera. —Yo soy el que necesita que tú me bautices —dijo Juan—, entonces, ¿por qué vienes tú a mí?"
23203,Mateo,3,15,15 Pero Jesús le dijo: Entonces Juan aceptó bautizarlo.
23204,Mateo,3,16,"16 Después del bautismo, mientras Jesús salía del agua, los cielos se abrieron y vio al Espíritu de Dios que descendía sobre él como una paloma."
23205,Mateo,3,17,"17 Y una voz dijo desde el cielo: «Este es mi Hijo amado, quien me da un gran gozo»."
23206,Mateo,4,1,1 Tentación de Jesús Luego el Espíritu llevó a Jesús al desierto para que allí lo tentara el diablo.
23207,Mateo,4,2,2 Durante cuarenta días y cuarenta noches ayunó y después tuvo mucha hambre.
23208,Mateo,4,3,"3 En ese tiempo, el diablo se le acercó y le dijo: —Si eres el Hijo de Dios, di a estas piedras que se conviertan en pan."
23209,Mateo,4,4,4 Jesús le dijo:
23210,Mateo,4,5,"5 Después el diablo lo llevó a la santa ciudad, Jerusalén, al punto más alto del templo,"
23211,Mateo,4,6,"6 y dijo: —Si eres el Hijo de Dios, ¡tírate! Pues las Escrituras dicen: “Él ordenará a sus ángeles que te protejan. Y te sostendrán con sus manos para que ni siquiera te lastimes el pie con una piedra” ."
23212,Mateo,4,7,7 Jesús le respondió:
23213,Mateo,4,8,8 Luego el diablo lo llevó a la cima de una montaña muy alta y le mostró todos los reinos del mundo y la gloria que hay en ellos.
23214,Mateo,4,9,9 —Te daré todo esto —dijo— si te arrodillas y me adoras.
23215,Mateo,4,10,"10 —le dijo Jesús—,"
23216,Mateo,4,11,"11 Entonces el diablo se fue, y llegaron ángeles a cuidar a Jesús."
23217,Mateo,4,12,"12 Comienzo del ministerio de Jesús Cuando Jesús oyó que habían arrestado a Juan, salió de Judea y regresó a Galilea."
23218,Mateo,4,13,"13 Primero fue a Nazaret, luego salió de allí y siguió hasta Capernaúm, junto al mar de Galilea, en la región de Zabulón y Neftalí."
23219,Mateo,4,14,14 Así se cumplió lo que Dios dijo por medio del profeta Isaías:
23220,Mateo,4,15,"15 «En la tierra de Zabulón y Neftalí, junto al mar, más allá del río Jordán, en Galilea, donde viven tantos gentiles,"
23221,Mateo,4,16,"16 la gente que estaba en la oscuridad ha visto una gran luz. Y para aquellos que vivían en la tierra donde la muerte arroja su sombra, ha brillado una luz» ."
23222,Mateo,4,17,"17 A partir de entonces, Jesús comenzó a predicar:"
23223,Mateo,4,18,"18 Primeros discípulos Cierto día, mientras Jesús caminaba por la orilla del mar de Galilea, vio a dos hermanos —a Simón, también llamado Pedro, y a Andrés— que echaban la red al agua, porque vivían de la pesca."
23224,Mateo,4,19,19 Jesús los llamó:
23225,Mateo,4,20,20 Y enseguida dejaron las redes y lo siguieron.
23226,Mateo,4,21,"21 Un poco más adelante por la orilla, vio a otros dos hermanos, Santiago y Juan, sentados en una barca junto a su padre, Zebedeo, reparando las redes. También los llamó para que lo siguieran."
23227,Mateo,4,22,"22 Ellos, dejando atrás la barca y a su padre, lo siguieron de inmediato."
23228,Mateo,4,23,"23 Multitudes siguen a Jesús Jesús viajó por toda la región de Galilea enseñando en las sinagogas, anunciando la Buena Noticia del reino, y sanando a la gente de toda clase de enfermedades y dolencias."
23229,Mateo,4,24,"24 Las noticias acerca de él corrieron y llegaron tan lejos como Siria, y pronto la gente comenzó a llevarle a todo el que estuviera enfermo. Y él los sanaba a todos, cualquiera fuera la enfermedad o el dolor que tuvieran, o si estaban poseídos por demonios, o eran epilépticos o paralíticos."
23230,Mateo,4,25,"25 Numerosas multitudes lo seguían a todas partes: gente de Galilea, de las Diez Ciudades, de Jerusalén, de toda Judea y del oriente del río Jordán."
23231,Mateo,5,1,"1 El Sermón del monte Cierto día, al ver que las multitudes se reunían, Jesús subió a la ladera de la montaña y se sentó. Sus discípulos se juntaron a su alrededor,"
23232,Mateo,5,2,2 y él comenzó a enseñarles.
23233,Mateo,5,3,3 Las bienaventuranzas
23234,Mateo,5,4,"4 Dios bendice a los que lloran, porque serán consolados."
23235,Mateo,5,5,"5 Dios bendice a los que son humildes, porque heredarán toda la tierra."
23236,Mateo,5,6,"6 Dios bendice a los que tienen hambre y sed de justicia, porque serán saciados."
23237,Mateo,5,7,"7 Dios bendice a los compasivos, porque serán tratados con compasión."
23238,Mateo,5,8,"8 Dios bendice a los que tienen corazón puro, porque ellos verán a Dios."
23239,Mateo,5,9,"9 Dios bendice a los que procuran la paz, porque serán llamados hijos de Dios."
23240,Mateo,5,10,"10 Dios bendice a los que son perseguidos por hacer lo correcto, porque el reino del cielo les pertenece."
23241,Mateo,5,11,11 »Dios los bendice a ustedes cuando la gente les hace burla y los persigue y miente acerca de ustedes y dice toda clase de cosas malas en su contra porque son mis seguidores.
23242,Mateo,5,12,"12 ¡Alégrense! ¡Estén contentos, porque les espera una gran recompensa en el cielo! Y recuerden que a los antiguos profetas los persiguieron de la misma manera."
23243,Mateo,5,13,13 Enseñanza acerca de la sal y de la luz
23244,Mateo,5,14,"14 »Ustedes son la luz del mundo, como una ciudad en lo alto de una colina que no puede esconderse."
23245,Mateo,5,15,"15 Nadie enciende una lámpara y luego la pone debajo de una canasta. En cambio, la coloca en un lugar alto donde ilumina a todos los que están en la casa."
23246,Mateo,5,16,"16 De la misma manera, dejen que sus buenas acciones brillen a la vista de todos, para que todos alaben a su Padre celestial."
23247,Mateo,5,17,17 Enseñanza acerca de la ley
23248,Mateo,5,18,"18 Les digo la verdad, hasta que desaparezcan el cielo y la tierra, no desaparecerá ni el más mínimo detalle de la ley de Dios hasta que su propósito se cumpla."
23249,Mateo,5,19,"19 Entonces, si no hacen caso al más insignificante mandamiento y les enseñan a los demás a hacer lo mismo, serán llamados los más insignificantes en el reino del cielo; pero el que obedece las leyes de Dios y las enseña será llamado grande en el reino del cielo."
23250,Mateo,5,20,"20 »Les advierto: a menos que su justicia supere a la de los maestros de la ley religiosa y a la de los fariseos, nunca entrarán en el reino del cielo."
23251,Mateo,5,21,21 Enseñanza acerca del enojo
23252,Mateo,5,22,"22 Pero yo digo: aun si te enojas con alguien, ¡quedarás sujeto a juicio! Si llamas a alguien idiota, corres peligro de que te lleven ante el tribunal; y si maldices a alguien, corres peligro de caer en los fuegos del infierno."
23253,Mateo,5,23,"23 »Por lo tanto, si presentas una ofrenda en el altar del templo y de pronto recuerdas que alguien tiene algo contra ti,"
23254,Mateo,5,24,24 deja la ofrenda allí en el altar. Anda y reconcíliate con esa persona. Luego ven y presenta tu ofrenda a Dios.
23255,Mateo,5,25,"25 »Cuando vayas camino al juicio con tu adversario, resuelvan rápidamente las diferencias. De no ser así, el que te acusa podría entregarte al juez, quien te entregará a un oficial y te meterán en la cárcel."
23256,Mateo,5,26,"26 Si eso sucede, te aseguro que no te pondrán en libertad hasta que hayas pagado el último centavo."
23257,Mateo,5,27,27 Enseñanza acerca del adulterio
23258,Mateo,5,28,28 Pero yo digo que el que mira con pasión sexual a una mujer ya ha cometido adulterio con ella en el corazón.
23259,Mateo,5,29,"29 Por lo tanto, si tu ojo —incluso tu ojo bueno — te hace caer en pasiones sexuales, sácatelo y tíralo. Es preferible que pierdas una parte de tu cuerpo y no que todo tu cuerpo sea arrojado al infierno."
23260,Mateo,5,30,"30 Y si tu mano —incluso tu mano más fuerte — te hace pecar, córtala y tírala. Es preferible que pierdas una parte del cuerpo y no que todo tu cuerpo sea arrojado al infierno."
23261,Mateo,5,31,31 Enseñanza acerca del divorcio
23262,Mateo,5,32,"32 Pero yo digo que un hombre que se divorcia de su esposa, a menos que ella le haya sido infiel, hace que ella cometa adulterio; y el que se casa con una divorciada también comete adulterio."
23263,Mateo,5,33,33 Enseñanza acerca de los juramentos
23264,Mateo,5,34,"34 Pero yo digo: ¡no hagas juramentos! No digas: “¡Por el cielo!”, porque el cielo es el trono de Dios."
23265,Mateo,5,35,"35 Y no digas: “¡Por la tierra!”, porque la tierra es donde descansa sus pies. Tampoco digas: “¡Por Jerusalén!”, porque Jerusalén es la ciudad del gran Rey."
23266,Mateo,5,36,"36 Ni siquiera digas: “¡Por mi cabeza!”, porque no puedes hacer que ninguno de tus cabellos se vuelva blanco o negro."
23267,Mateo,5,37,"37 Simplemente di: “Sí, lo haré” o “No, no lo haré”. Cualquier otra cosa proviene del maligno."
23268,Mateo,5,38,38 Enseñanza acerca de la venganza
23269,Mateo,5,39,"39 Pero yo digo: no resistas a la persona mala. Si alguien te da una bofetada en la mejilla derecha, ofrécele también la otra mejilla."
23270,Mateo,5,40,"40 Si te demandan ante el tribunal y te quitan la camisa, dales también tu abrigo."
23271,Mateo,5,41,"41 Si un soldado te exige que lleves su equipo por un kilómetro, llévalo dos."
23272,Mateo,5,42,42 Dale a los que te pidan y no des la espalda a quienes te pidan prestado.
23273,Mateo,5,43,43 Enseñanza acerca de amar a los enemigos
23274,Mateo,5,44,44 Pero yo digo: ¡ama a tus enemigos! ¡Ora por los que te persiguen!
23275,Mateo,5,45,"45 De esa manera, estarás actuando como verdadero hijo de tu Padre que está en el cielo. Pues él da la luz de su sol tanto a los malos como a los buenos y envía la lluvia sobre los justos y los injustos por igual."
23276,Mateo,5,46,"46 Si solo amas a quienes te aman, ¿qué recompensa hay por eso? Hasta los corruptos cobradores de impuestos hacen lo mismo."
23277,Mateo,5,47,"47 Si eres amable solo con tus amigos, ¿en qué te diferencias de cualquier otro? Hasta los paganos hacen lo mismo."
23278,Mateo,5,48,"48 Pero tú debes ser perfecto, así como tu Padre en el cielo es perfecto."
23279,Mateo,6,1,1 Enseñanza acerca de dar a los necesitados
23280,Mateo,6,2,"2 Cuando le des a alguien que pasa necesidad, no hagas lo que hacen los hipócritas que tocan la trompeta en las sinagogas y en las calles para llamar la atención a sus actos de caridad. Les digo la verdad, no recibirán otra recompensa más que esa."
23281,Mateo,6,3,"3 Pero tú, cuando le des a alguien que pasa necesidad, que no sepa tu mano izquierda lo que hace tu derecha."
23282,Mateo,6,4,"4 Entrega tu ayuda en privado, y tu Padre, quien todo lo ve, te recompensará."
23283,Mateo,6,5,5 Enseñanza acerca de la oración y el ayuno
23284,Mateo,6,6,"6 Pero tú, cuando ores, apártate a solas, cierra la puerta detrás de ti y ora a tu Padre en privado. Entonces, tu Padre, quien todo lo ve, te recompensará."
23285,Mateo,6,7,"7 »Cuando ores, no parlotees de manera interminable como hacen los seguidores de otras religiones. Piensan que sus oraciones recibirán respuesta solo por repetir las mismas palabras una y otra vez."
23286,Mateo,6,8,"8 No seas como ellos, porque tu Padre sabe exactamente lo que necesitas, incluso antes de que se lo pidas."
23287,Mateo,6,9,"9 Ora de la siguiente manera: Padre nuestro que estás en el cielo, que sea siempre santo tu nombre."
23288,Mateo,6,10,10 Que tu reino venga pronto. Que se cumpla tu voluntad en la tierra como se cumple en el cielo.
23289,Mateo,6,11,"11 Danos hoy el alimento que necesitamos,"
23290,Mateo,6,12,"12 y perdónanos nuestros pecados, así como hemos perdonado a los que pecan contra nosotros."
23291,Mateo,6,13,"13 No permitas que cedamos ante la tentación, sino rescátanos del maligno."
23292,Mateo,6,14,"14 »Si perdonas a los que pecan contra ti, tu Padre celestial te perdonará a ti;"
23293,Mateo,6,15,"15 pero si te niegas a perdonar a los demás, tu Padre no perdonará tus pecados."
23294,Mateo,6,16,"16 »Cuando ayunes, que no sea evidente, porque así hacen los hipócritas; pues tratan de tener una apariencia miserable y andan desarreglados para que la gente los admire por sus ayunos. Les digo la verdad, no recibirán otra recompensa más que esa."
23295,Mateo,6,17,"17 Pero tú, cuando ayunes, lávate la cara y péinate."
23296,Mateo,6,18,"18 Así, nadie se dará cuenta de que estás ayunando, excepto tu Padre, quien sabe lo que haces en privado; y tu Padre, quien todo lo ve, te recompensará."
23297,Mateo,6,19,19 Enseñanza acerca del dinero y las posesiones
23298,Mateo,6,20,"20 Almacena tus tesoros en el cielo, donde las polillas y el óxido no pueden destruir, y los ladrones no entran a robar."
23299,Mateo,6,21,"21 Donde esté tu tesoro, allí estarán también los deseos de tu corazón."
23300,Mateo,6,22,"22 »Tu ojo es una lámpara que da luz a tu cuerpo. Cuando tu ojo es bueno, todo tu cuerpo está lleno de luz;"
23301,Mateo,6,23,"23 pero cuando tu ojo es malo, todo tu cuerpo está lleno de oscuridad. Y si la luz que crees tener en realidad es oscuridad, ¡qué densa es esa oscuridad!"
23302,Mateo,6,24,24 »Nadie puede servir a dos amos. Pues odiará a uno y amará al otro; será leal a uno y despreciará al otro. No se puede servir a Dios y al dinero.
23303,Mateo,6,25,"25 »Por eso les digo que no se preocupen por la vida diaria, si tendrán suficiente alimento y bebida, o suficiente ropa para vestirse. ¿Acaso no es la vida más que la comida y el cuerpo más que la ropa?"
23304,Mateo,6,26,"26 Miren los pájaros. No plantan ni cosechan ni guardan comida en graneros, porque el Padre celestial los alimenta. ¿Y no son ustedes para él mucho más valiosos que ellos?"
23305,Mateo,6,27,27 ¿Acaso con todas sus preocupaciones pueden añadir un solo momento a su vida?
23306,Mateo,6,28,28 »¿Y por qué preocuparse por la ropa? Miren cómo crecen los lirios del campo. No trabajan ni cosen su ropa;
23307,Mateo,6,29,"29 sin embargo, ni Salomón con toda su gloria se vistió tan hermoso como ellos."
23308,Mateo,6,30,"30 Si Dios cuida de manera tan maravillosa a las flores silvestres que hoy están y mañana se echan al fuego, tengan por seguro que cuidará de ustedes. ¿Por qué tienen tan poca fe?"
23309,Mateo,6,31,"31 »Así que no se preocupen por todo eso diciendo: “¿Qué comeremos?, ¿qué beberemos?, ¿qué ropa nos pondremos?”."
23310,Mateo,6,32,"32 Esas cosas dominan el pensamiento de los incrédulos, pero su Padre celestial ya conoce todas sus necesidades."
23311,Mateo,6,33,"33 Busquen el reino de Dios por encima de todo lo demás y lleven una vida justa, y él les dará todo lo que necesiten."
23312,Mateo,6,34,"34 »Así que no se preocupen por el mañana, porque el día de mañana traerá sus propias preocupaciones. Los problemas del día de hoy son suficientes por hoy."
23313,Mateo,7,1,1 No juzgar a los demás
23314,Mateo,7,2,2 Pues serán tratados de la misma forma en que traten a los demás. El criterio que usen para juzgar a otros es el criterio con el que se les juzgará a ustedes.
23315,Mateo,7,3,"3 »¿Y por qué te preocupas por la astilla en el ojo de tu amigo, cuando tú tienes un tronco en el tuyo?"
23316,Mateo,7,4,"4 ¿Cómo puedes pensar en decirle a tu amigo: “Déjame ayudarte a sacar la astilla de tu ojo”, cuando tú no puedes ver más allá del tronco que está en tu propio ojo?"
23317,Mateo,7,5,5 ¡Hipócrita! Primero quita el tronco de tu ojo; después verás lo suficientemente bien para ocuparte de la astilla en el ojo de tu amigo.
23318,Mateo,7,6,6 »No desperdicies lo que es santo en gente que no es santa. ¡No arrojes tus perlas a los cerdos! Pisotearán las perlas y luego se darán vuelta y te atacarán.
23319,Mateo,7,7,7 Oración eficaz
23320,Mateo,7,8,"8 Pues todo el que pide, recibe; todo el que busca, encuentra; y a todo el que llama, se le abrirá la puerta."
23321,Mateo,7,9,"9 »Ustedes, los que son padres, si sus hijos les piden un pedazo de pan, ¿acaso les dan una piedra en su lugar?"
23322,Mateo,7,10,"10 O si les piden un pescado, ¿les dan una serpiente? ¡Claro que no!"
23323,Mateo,7,11,"11 Así que si ustedes, gente pecadora, saben dar buenos regalos a sus hijos, cuánto más su Padre celestial dará buenos regalos a quienes le pidan."
23324,Mateo,7,12,12 La regla de oro
23325,Mateo,7,13,13 La puerta angosta
23326,Mateo,7,14,"14 Sin embargo, la puerta de acceso a la vida es muy angosta y el camino es difícil, y son solo unos pocos los que alguna vez lo encuentran."
23327,Mateo,7,15,15 El árbol y su fruto
23328,Mateo,7,16,"16 Puedes identificarlos por su fruto, es decir, por la manera en que se comportan. ¿Acaso puedes recoger uvas de los espinos o higos de los cardos?"
23329,Mateo,7,17,17 Un buen árbol produce frutos buenos y un árbol malo produce frutos malos.
23330,Mateo,7,18,18 Un buen árbol no puede producir frutos malos y un árbol malo no puede producir frutos buenos.
23331,Mateo,7,19,"19 Por lo tanto, todo árbol que no produce frutos buenos se corta y se arroja al fuego."
23332,Mateo,7,20,"20 Así es, de la misma manera que puedes identificar un árbol por su fruto, puedes identificar a la gente por sus acciones."
23333,Mateo,7,21,21 Verdaderos discípulos
23334,Mateo,7,22,"22 El día del juicio, muchos me dirán: “¡Señor, Señor! Profetizamos en tu nombre, expulsamos demonios en tu nombre e hicimos muchos milagros en tu nombre”."
23335,Mateo,7,23,"23 Pero yo les responderé: “Nunca los conocí. Aléjense de mí, ustedes, que violan las leyes de Dios”."
23336,Mateo,7,24,24 Edificar sobre un cimiento sólido
23337,Mateo,7,25,"25 Aunque llueva a cántaros y suban las aguas de la inundación y los vientos golpeen contra esa casa, no se vendrá abajo porque está construida sobre un lecho de roca."
23338,Mateo,7,26,"26 Sin embargo, el que oye mi enseñanza y no la obedece es un necio, como la persona que construye su casa sobre la arena."
23339,Mateo,7,27,"27 Cuando vengan las lluvias y lleguen las inundaciones y los vientos golpeen contra esa casa, se derrumbará con un gran estruendo»."
23340,Mateo,7,28,"28 Cuando Jesús terminó de decir esas cosas, las multitudes quedaron asombradas de su enseñanza,"
23341,Mateo,7,29,"29 porque lo hacía con verdadera autoridad, algo completamente diferente de lo que hacían los maestros de la ley religiosa."
23342,Mateo,8,1,"1 Jesús sana a un leproso Al bajar Jesús por la ladera del monte, grandes multitudes lo seguían."
23343,Mateo,8,2,"2 De repente, un leproso se le acercó y se arrodilló delante de él. —Señor —dijo el hombre—, si tú quieres, puedes sanarme y dejarme limpio."
23344,Mateo,8,3,"3 Jesús extendió la mano y lo tocó: —dijo—. Al instante, la lepra desapareció."
23345,Mateo,8,4,4 —le dijo Jesús—.
23346,Mateo,8,5,"5 La fe de un oficial romano Cuando Jesús regresó a Capernaúm, un oficial romano se le acercó y le rogó:"
23347,Mateo,8,6,"6 —Señor, mi joven siervo está en cama, paralizado y con terribles dolores."
23348,Mateo,8,7,7 —dijo Jesús.
23349,Mateo,8,8,"8 —Señor —dijo el oficial—, no soy digno de que entres en mi casa. Tan solo pronuncia la palabra desde donde estás y mi siervo se sanará."
23350,Mateo,8,9,"9 Lo sé porque estoy bajo la autoridad de mis oficiales superiores y tengo autoridad sobre mis soldados. Solo tengo que decir: “Vayan”, y ellos van o “vengan”, y ellos vienen. Y si les digo a mis esclavos: “Hagan esto”, lo hacen."
23351,Mateo,8,10,"10 Al oírlo, Jesús quedó asombrado. Se dirigió a los que lo seguían y dijo:"
23352,Mateo,8,11,"11 Y les digo que muchos gentiles vendrán de todas partes del mundo —del oriente y del occidente— y se sentarán con Abraham, Isaac y Jacob en la fiesta del reino del cielo."
23353,Mateo,8,12,"12 Pero muchos israelitas —para quienes se preparó el reino— serán arrojados a la oscuridad de afuera, donde habrá llanto y rechinar de dientes»."
